text,trans,type
放課後クライマックスガールズ のメンバーを全員入れたデッキでフェスアイドルを誕生させよう,방과후 클라이맥스 걸즈의 멤버를 전원 넣은 덱으로 페스 아이돌을 탄생시키자,text
プロフィールで誕生日を設定しよう！,프로필에서 생일을 설정하자!,text
マニーショップで販売しているアイテムをどれか一つ買ってみよう,머니샵에서 판매되는 아이템을 하나 사보자,text
【W.I.N.G.編】W.I.N.G.準決勝に進出しよう,[W.I.N.G.편] W.I.N.G. 준결승에 진출하자,text
フェスリハーサルに参加しよう,페스 리허설에 참가하자,text
サポートアイドルをトレーニングしよう,서포트 아이돌을 트레이닝 하자,text
マニーショップで買い物をしよう,머니샵에서 쇼핑하자,text
フェスをプレイしよう,페스를 플레이 하자,text
デイリーミッションを全てクリアしよう,데일리 미션을 모두 클리어 하자,text
フェスで勝利しよう,페스에서 승리하자,text
ウィークリーミッションを全てクリアしよう,위클리 미션을 모두 클리어 하자,text
フェスアイドルを誕生させよう,페스 아이돌을 탄생시키자,exp
フェスに参加しよう,페스에 참가하자,text
営業をしよう,영업을 하자,text
「プロ根性」：メンタルが極小時にパーフェクトアピールを行う,「프로 근성」:멘탈이 극소시에 퍼펙트 어필을 실시한다,text
フェスの極意は、最後まで逆転を諦めないことだ,"페스의 비결은, 끝까지 승리를 단념하지 않는 것이다",text
「その……会話ってどうすれば\n盛り上がるんでしょうか……？」,「그…… 회화는 어떻게 하면\n분위기를 살리는 걸까요……?」,text
「コミュニケーションは\n節度を持って、ですよ？」,"「커뮤니케이션은\n절도를 가져, 야지요?」",text
初心にかえって研鑽を積み、羽ばたくんだ！,"초심으로 오히려 깊이 연구하여, 날개를 펼친다!",text
プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆,"프로듀서님 자랑의 아마나를, 활약시켜 주었으면 해☆",text
ずっと、ずっと、お傍においてくださいませ……,"쭉, 쭉, 옆에 있어 주십시오……",text
白い翼を持ったアイドルで、パラダイスを制することができるか？,"흰 날개를 가진 아이돌로, 파라다이스를 억제할 수가 있을까?",text
繰り返し限界を超え、絶対に折れない心を手に入れるんだ,"반복 한계를 넘어, 절대로 접히지 않는 마음을 손에 넣는다",text
ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！,"있지있지, 프로듀서! 뭔가 톱 아이돌이 될 수 있을 것 같은 느낌이 들어요-!",text
限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ,한계를 넘으면 또 한계가 온다. 꺾이지 않고 계속 노래한다,text
パラダイスを制する……魅惑的な響きだと思わないか？,파라다이스를 억제하는…… 매혹적인 영향이라고 생각하지 않는가?,text
「光り輝くアイドルの誕生だ」,「밝게 빛나는 아이돌의 탄생이다」,text
オーバーキャストモノクローム交換チケット,오버 캐스트 모노크롬 교환 티켓,text
オーバーキャストモノクロームと交換できるチケットです,오버 캐스트 모노크롬과 교환할 수 있는 티켓입니다,text
W.I.N.G.決勝に進出しよう,W.I.N.G. 결승에 진출하자,text
W.I.N.G.を優勝しよう,W.I.N.G. 에서 우승하자,exp
W.I.N.G.を$num回優勝しよう,W.I.N.G. 에서 $1회 우승하자,exp
「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する,「전설의 일순」 : 1회의 어필로 모든 심사원으로부터 라스트 어필을 획득한다,text
「完全掌握」：全ての審査員からトップアピールを獲得する,「완전 장악」 : 모든 심사원으로부터 탑 어필을 획득한다,text
「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する,「퍼펙트 라이브」 : 모든 심사원으로부터 탑 어필과 라스트 어필을 획득한다,text
【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう,【W.I.N.G.】아무 아이돌의 TrueEnd를 보자,text
【W.I.N.G.編】W.I.N.G.決勝に進出しよう,【W.I.N.G.】W.I.N.G. 결승에 진출하자,text
プロデュースを開始しよう,프로듀스를 개시하자,exp
トラブルを発生させずにシーズンをクリアしよう,트러블을 일으키지 않고 시즌을 클리어하자,text
「$uk」に$num回合格しよう,「$1」에 $2회 합격하자,exp
櫻木真乃,사쿠라기 마노,name
風野灯織,카자노 히오리,name
八宮めぐる,하치미야 메구루,name
月岡恋鐘,츠키오카 코가네,name
田中摩美々,타나카 마미미,name
白瀬咲耶,시라세 사쿠야,name
三峰結華,미츠미네 유이카,name
幽谷霧子,유코쿠 키리코,name
小宮果穂,코미야 카호,name
園田智代子,소노다 치요코,name
西城樹里,사이죠 쥬리,name
杜野凛世,모리노 린제,name
有栖川夏葉,아리스가와 나츠하,name
大崎甘奈,오사키 아마나,name
大崎甜花,오사키 텐카,name
桑山千雪,쿠와야마 치유키,name
芹沢あさひ,세리자와 아사히,name
黛冬優子,마유즈미 후유코,name
和泉愛依,이즈미 메이,name
浅倉透,아사쿠라 토오루,name
市川雛菜,이치카와 히나나,name
樋口円香,히구치 마도카,name
福丸小糸,후쿠마루 코이토,name
七草にちか,나나쿠사 니치카,name
緋田美琴,아케타 미코토,name
フェス,페스,noun
フェスリハーサル,페스 리허설,noun
グレードフェス,그레이드 페스,noun
リンクアピール,링크 어필,noun
パーフェクト,퍼펙트,noun
がっちりアピール,갓챠리 어필,noun
トップアピール,탑 어필,noun
ラストアピール,라스트 어필,noun
プロ根性,프로 근성,noun
Easy,Easy,noun
NORMAL,NORMAL,noun
HARD,HARD,noun
VERYHARD,VERYHARD,noun
Extreme,Extreme,noun
審査員,심사원,noun
イルミネーションスターズ,일루미네이션 스타즈,noun
放課後クライマックスガールズ,방과후 클라이맥스걸즈,noun
アンティーカ,안티카,noun
アルストロメリア,알스트로메리아,noun
ストレイライト,스트레이라이트,noun
ノクチル,녹칠,noun
シーズ,SHHis,noun
完全掌握,완전장악,noun
フェスマスター,페스 마스터,noun
パーフェクトライブ,퍼펙트 라이브,noun
伝説の一瞬,전설의 일순,noun
Vocal,Vocal,noun
Dance,Dance,noun
Visual,Visual,noun
ランクF,랭크 F,noun
ランクE,랭크 E,noun
ランクD,랭크 D,noun
ランクC,랭크 C,noun
ランクB,랭크 B,noun
ランクA,랭크 A,noun
ランクS,랭크 S,noun
Fランク,F 랭크,noun
Eランク,E 랭크,noun
Dランク,D 랭크,noun
Cランク,C 랭크,noun
Bランク,B 랭크,noun
Aランク,A 랭크,noun
Sランク,S 랭크,noun
グレード,그레이드,noun
W.I.N.G.編,W.I.N.G. 편,note
ファン感謝祭編,팬 감사제 편,note
G.R.A.D.編,G.R.A.D. 편,note
高難易度,고난이도,note
期間限定,기간 한정,note
白いツバサ,하얀날개,note
２８３プロのヒナ,283프로의 병아리,note
ゲームにログインしよう,게임에 로그인하자,exp
$nounに$num回参加しよう,$1에 $2회 참가하자,exp
営業を$num回しよう,영업을 $1회 하자,exp
未読の4コマ漫画を1つ見よう,아직 읽지 않은 4컷 만화를 1편 보자,exp
アイドルをホームユニットに編成しよう,아이돌을 홈 유닛으로 편성하자,exp
1日1回10連無料ガシャを1回実行しよう,1일 1회 10연 무료 가챠를 1회 실행하자,exp
プロフィールでお気に入りのアイドルを設定しよう,프로필에서 마음에 드는 아이돌을 설정하자,exp
サポートアイドルをトレーニングしよう,서포트 아이돌을 트레이닝하자,exp
初心者ミッションを全て達成しよう,초보자 미션을 모두 달성하자,exp
フェス参加権が$num回復します,페스 참가권이$1회 회복됩니다,exp
グレードフェスに参加して、1位に$num回なろう,"그레이드페스에 참가하여, 1위를 $1회하자",exp
W.I.N.G.攻略ミッションを全て達成しよう,W.I.N.G. 공략 미션을 모두 달성하자,exp
期間中に$nameのファン人数を$num万人獲得しよう,기간 중 $1의 팬 수를 $2만명 확보하자,exp
$nounを$num回プレイしよう,$1를 $2회 플레이 하자,exp
$noun以上のフェスアイドルを$num人誕生させよう,$1 이상의 페스 아이돌을 $2명 탄생시키자,exp
フェスアイドルを$num人誕生させよう,페스 아이돌을 $1명 탄생시키자,exp
$nounに参加して、$nounを達成しよう,$1에 참가해、 $2를 달성하자,exp
「$noun」：条件を満たすことで発動できる特別なスキル,「$1」 : 조건을 채우는 것으로 발동할 수 있는 특별한 스킬,exp
$nounに参加して、$nounを$num回達成しよう,$1에 참가해、 $2를 $3회 달성하자,exp
「$noun」：アピールメーターを$nounの位置で止める,「$1」 : 어필 미터를 $2의 위치에서 세운다,exp
「$noun」：$num人の$nounから$nounと$nounを獲得する,「$1」 : $2명의 $3로부터 $4와 $5를 획득한다,exp
$noun以上の$nounに参加して、$nounを$num回達成しよう,$1 이상의 $2에 참가해、 $3를(을) $4회 달성하자,exp
$nounに参加して、$num位になろう,$1에 참가해、 $2위가 되자,exp
$noun以上の$noun$uk$num位になろう,$1 이상의 $2에서(로)、 $4위가 되자,exp
$nounの$nounに参加して、$num位になろう,$1의 $2에 참가해、 $3위가 되자,exp
$nounの$nounに参加して、$num位以上になろう,$1의 $2에 참가해、 $3위 이상이 되자,exp
$nounの$nounで$num位になろう,"$1의 $2에서(로) $3위가 되자",exp
$nounの$nounに参加して、$nounを達成しよう,"$1의 $2에 참가해, $3을 달성하자",exp
$noun以上の$nounに参加しよう,"$1 이상의 $2에 참가하자",exp
$noun以上の$nounで$num位になろう,"$1 이상의 $2에서(로) $3위가 되자",exp
$noun$num以上の$nounに$num回参加しよう,"$1 $2 이상의 $3에 $4회 참가하자",exp
$noun全員を編成して、$noun以上の$nounに参加しよう,$1 전원을 편성해、 $2 이상의 $3에 참가하자,exp
$noun全員を編成して、$noun以上の$nounに$num回参加しよう,$1 전원을 편성해、 $2 이상의 $3에 $4회 참가하자,exp
$noun全員を編成して、$nounで$num位になろう,$1 전원을 편성해、 $2에서 $3위가 되자,exp
$noun全員を編成して、$nounで$num位に$num回なろう,$1 전원을 편성해、 $2에서 $3위를 $4회 하자,exp
$noun全員を編成して、$noun以上の$nounで$num位になろう,$1 전원을 편성해、 $2 이상의 $3에서 $4위가 되자,exp
$noun全員を編成して、$noun以上の$nounで$nounを達成しよう,$1 전원을 편성해、 $2 이상의 $3에서 $4을 달성하자,exp
$noun全員を編成して、$noun以上の$nounで$nounを$num回達成しよう,$1 전원을 편성해、 $2 이상의 $3에서 $4를 $5회 달성하자,exp
$nameのファンを累計で$num人獲得しよう,$1의 팬을 누계로 $2명 획득하자,exp
$nameのファンを累計で$num万人獲得しよう,$1의 팬을 누계로 $2만명 획득하자,exp
$nameのファンを累計で$num億人獲得しよう,$1의 팬을 누계로 $2억명 획득하자,exp
ファンを累計で$num人獲得しよう,팬을 누계로 $1명 획득하자,exp
ファンを累計で$num万人獲得しよう,팬을 누계로 $1만명 획득하자,exp
ファンを累計で$num億人獲得しよう,팬을 누계로 $1억명 획득하자,exp
$nameの思い出レベルを$numにしよう,$1의 추억 레벨을 $2(으)로 하자,exp
$nounで$num回勝利しよう,$1에서 $2회 승리하자,exp
$nounで$nounを達成しよう,$1에서 $2을 달성하자,exp
「$noun」：$nounボーナスを獲得する,「$1」 : $2 보너스를 획득한다,exp
$nounで$nounを$num回達成しよう,$1에서 $2을 $3회 달성하자,exp
$nounをプレイしよう,$1을 플레이 하자,exp
$nounで勝利しよう,$1에서 승리하자,exp
天井社長からの指令$num,아마이 사장으로부터의 지령 $1,exp
$noun$ukメンバーを全員入れたデッキでフェスアイドルを誕生させよう,$1의 멤버를 전원 넣은 덱으로 페스 아이돌을 탄생시키자,exp
シーズン$numをクリアしよう,시즌$1을 클리어 하자,exp
$nameのフェスアイドルを誕生させよう,$1의 페스 아이돌을 탄생시키자,exp
グレードLv$numに昇格しよう,그레이드 Lv$1에 승격하자,exp
$nameのユニットで、強力なライバルに対して\n「$noun」を達成した証,"$1의 유닛으로, 강력한 라이벌을 대해\n 「$2」를 달성한 증거",exp
