name,trans
プロデューサー,프로듀서
はづき,하즈키
社長,사장
審査員,심사원
カフェの店員,카페의 점원
八雲なみ,야쿠모 나미
一同,일동
白うさぎ,하얀토끼
ジュリ,'쥬리’
カホ,'카호’
チヨコ,'치요코’
リンゼ,'린제’
ナツハ,'나츠하’
ナレーション,나레이션
女生徒,여학생
愛依の弟,메이의 남동생
愛依の妹,메이의 여동생
スタッフ,스태프
女性スタッフ,여성 스태프
観客,관객
コーチ,코치
トレーナー,트레이너
雑誌のゲラ,잡지의 시험인쇄
番組予告,프로그램 예고
アーティスト,아티스트
配信者,송신자
愛依の友人,메이의 친구
会社員,회사원
舞台監督,무대감독
振付,안무
動画サイト,동영상 사이트
ツイスタ,트위스터
テレビの音声,텔레비전의 음성
番組ディレクター,프로그램 디렉터
ヘアメイク,헤어 메이크업
愛依の妹＆弟,메이의 여동생&남동생
配信の音声,전달 음성
ドラマの監督,드라마 감독
ドラマのディレクター,드라마 디렉터
ドラマのスタッフ,드라마 스태프
SNSの書き込み,SNS의 글
ものまね,흉내내기
司会者,사회자
愛依のツイスタ,메이의 트위스터
愛依の母,메이의 어머니
円香の母,마도카의 엄마
円香の父,마도카의 아버지
雛菜の父,히나나의 아버지
雛菜の母,히나나의 어머니
果穂の母,카호의 어머니
果穂の父,카호의 아버지
透の母,토오루의 어머니
小糸の妹,코이토의 여동생
小糸の母,코이토의 어머니
冬優子の母,후유코의 어머니
コンビニ店員,편의점 점원
アイドル,아이돌
出場者一同,출전자 일동
カメラマン,카메라맨
女子高生,여고생
テレビの声,텔레비전의 소리
コメンテーター,해설자
フロアスタッフ,플로어 스태프
ある現場の録音技師,어느 현장의 녹음 기사
ダンストレーナー,댄스 트레이너
レコードのタイトル,레코드의 타이틀
ななみ,나나미
ななみ？,나나미?
ルカ,루카
スタイリスト,스타일리스트
ディレクター,디렉터
クリーニング店店長,세탁소 점장
書店店主,서점 주인
社員,사원
司会,사회
店員,점원
バーテンダー,바텐더
レッスン場スタッフ,레슨실 스태프
キャロル隊,캐롤대
めぐるの友達,메구루의친구
おばちゃん,아주머니
役人,관리
フロアマネージャー,플로어 매니저
フロアの先輩,플로어의 선배
にちか＆先輩,니치카&선배
女の子,여자 아이
クラスメイト,클래스메이트
先生,선생님
男子生徒,남학생
女子生徒,여학생
監督,감독
冬優子の友人,후유코의 친구
教師,교사
委員長,위원장
ダンス講師,댄스 강사
番組スポンサー,방송 스폰서
映像ディレクター,영상 디렉터
取引先のカメラマン,거래처 카메라맨
ラジオMC,라디오 MC
スポンサー,스폰서
姉,언니
オウム,앵무새
ニュース番組リポーター,뉴스 프로그램 리포터
映画の音声,영화의 음성
近所の住民,근처의 주민
近所の家族,근처의 가족
船長,선장
AB船員,AB선원
ボーイ,보이
スマホ画面,스마트폰 화면
プロデューサーの文面,프로듀서의 글
アイドルのツイスタ,아이돌의 트위스터
階下の声,아래층의 소리
親戚の子,친척집 아이
透の叔母,토오루의 숙모
善村記者,요시무라 기자
書店員,서점 직원
浅倉家から聞こえる声,토오루 집에서 들리는 목소리
中堅アイドルグループ,중견 아이돌 그룹
控室のアイドルたち,대기실의 아이돌들
拡声器のアナウンス,확성기의 방송
善村とプロデューサー,요시무라와 프로듀서
番組スタッフ,프로그램 스태프
バラエティ司会者,버라이어티 사회자
芸人,연예인
駆け出しモデル,신출내기 모델
甘奈おばあちゃん,아마나의 할머니
ファンレター,팬 레터
無線連絡,무선 연락
テロップ,텔롭(자막)
音声案内,음성 안내
父親,부친
スーパーの店員,슈퍼의 점원
はづきの同僚店員,하즈키의 동료 점원
ラジオの音,라디오의 소리
放クラ一同,방클걸 일동
バイト先の先輩,아르바이트하는 선배
番組スタッフたち,프로그램 스태프들
番組アナウンサー,프로그램 아나운서
番組MC,프로그램 MC
メイクスタッフ,메이크 스태프
アイドルグループ,아이돌 그룹
