text,trans
──それでも、これからも\n私がトップを目指すことに変わりはないわ,"──그래도, 앞으로\n내가 톱을 목표하는 것은 변함없어"
あ……プロデューサーさん\nお疲れさまです……,아…… 프로듀서님\n수고하셨어요……
今日も頑張るね！,오늘도 열심히 할게!
水が光ってるのかな\n──空が光ってるのかな,물이 빛나고 있는 걸까\n──하늘이 빛나고 있는 걸까
はい…………,네…………
……みんなに言わなきゃな\n『応援してくれてありがとう』って,……모두에게 말해야겠지\n『응원해줘서 고마워』 라고
……お疲れ様です、プロデューサーさん,"……수고하셨어요, 프로듀서님"
嫌です,싫어요
円香、来週から手伝いを頼めるか？,"마도카, 다음주부터 도와줄 수 있어?"
お疲れ様ですっ,수고하셨어요
は～い♡　いいよ～？,네에~♡ 괜찮은데~?
雛菜、来週から手伝いを頼めるか？,"히나나, 다음 주부터 도와줄 수 있어?"
お待たせしました。審査結果を発表いたします\n返り咲くのは、果たして……！？,"오래 기다리셨습니다. 심사결과를 발표하겠습니다\n복귀하는 사람은, 과연……!?"
お疲れ様でした\n結果は残念でしたが……まだ諦めないでくださいね～,수고하셨어요\n결과는 아쉬웠지만……아직 포기하지 말아주셔요~
どうかしましたか？,무슨 일 있나요?
は、はい……が、頑張ります……！,"아, 네…… 여, 열심히 할게요……!"
ひいていく波を追って\n私たち、碧い風になった,"흘러가는 파도를 따라\n우리들은, 푸른 바람이 되었다"
プロデューサーさん、シーズン２が終了しました\n次は予選です。頑張ってくださいね～,"프로듀서님, 시즌 2가 종료됐어요\n다음은 예선이에요. 열심히 해주세요~"
プロデューサーさん、一緒に頑張りましょう～,"프로듀서님, 같이 열심히 해봐요~"
合格の皆さま、おめでとうございます！\n呼ばれなかった方は、残念ながらここで脱落です……！,"합격하신 여러분들 축하드립니다!\n호명되지 않으신 분들은, 유감스럽지만 여기서 탈락입니다……!"
合格の皆さま、おめでとうございます！\n本選への出場が決定いたしました……！,합격하신 여러분들 축하드립니다!\n본선 진출이 결정되었습니다……!
小糸、来週から手伝いを頼めるか？,"코이토, 다음주부터 도와줄 수 있어?"
敗者復活戦の出場が決定しました\nここで勝てば、本選のステージに立つことができますよ～,"패자부활전 출전이 결정됐어요\n여기서 이기면, 본선 스테이지에 설 수 있다구요~"
おめでとうございます！\nその他の方々は惜しくも敗退です。お疲れさまでした,축하드립니다!\n다른 분들은 아쉽게도 탈락입니다. 수고하셨습니다
おめでとうございます！\n今最も輝くアイドルに、盛大な拍手をお願いします！,"축하드립니다!\n지금 가장 반짝이는 아이돌에게, 성대한 박수를 부탁드립니다!"
お待たせしました。審査が出そろいましたので、\n『G.R.A.D.』本選の結果発表をさせていただきます！,"오래 기다리셨습니다. 심사가 완료되었으므로,\n『G.R.A.D.』본선의 결과를 발표하겠습니다!"
シーズン４まで終了しました\nいよいよですね～。私もドキドキしてきました,시즌 4까지 종료됐어요\n드디어네요~. 저도 두근두근하기 시작했어요
プロデューサーさん、シーズン１が終了しました\n次も一緒に頑張りましょう～,"프로듀서님, 시즌 1이 종료됐어요\n다음에도 같이 열심히 해 봐요~"
行こ,가자
────寝てた、ごめん,"────잤어, 미안"
おめでとうございます♪\n『G.R.A.D.』本選の出場が決定いたしました,축하드려요♪\n『G.R.A.D.』본선 출전이 결정됐어요
お待たせしました。審査結果を発表いたします\n『G.R.A.D.』予選を通過したのは……！？,오래 기다리셨습니다. 심사결과를 발표하겠습니다\n『G.R.A.D.』 예선을 통과한 사람은……!?
プロデューサーさん、シーズン３が終了しました\n次が最後のシーズンですよ～,"프로듀서님, 시즌 3이 종료됐어요\n다음이 마지막 시즌이네요~"
予選通過の皆さま、おめでとうございます！\n呼ばれなかった方は、残念ながらここで脱落です……！,"예선을 통과하신 여러분들, 축하드립니다!\n호명되지 않으신 분들은, 유감스럽지만 여기서 탈락입니다……!"
予選通過の皆さま、おめでとうございます！\n本選でもその魅力を発揮してください！,"예선을 통과하신 여러분들, 축하드립니다!\n본선에서도 그 매력을 발휘해주세요!"
本選までまだ時間がありますので\nしっかり準備してくださいね～,본선까지는 아직 시간이 있으니까\n확실히 준비해주셔요~
透、来週から手伝いを頼めるか？,"토오루, 다음주부터 도와줄 수 있을까?"
ひとやすみ……しましょう……\n命の……季節が……\nやってくるから……,잠시…… 쉬도록 해요……\n생명의…… 계절이……\n찾아올 거니까……
はい、今日は浅倉の誕生日\nで、それがどうしました？\nあなたに関係ないですよね？,"네, 오늘 아사쿠라 생일인데\n그게 어쨌다는 건가요?\n당신하고 상관 없죠?"
透ちゃん……\n何が欲しいかわからなくて\nいつものお菓子に……,토오루쨩……\n뭐가 필요한지 몰라서\n항상 먹던 과자로……
雛菜、今日は\n透先輩のお誕生日しか\nしないからね～～～？,"히나나, 오늘은\n토오루 선배 생일 말고는\n안 할 거니까 말야~~~?"
あの……っ、いつも私のお話を聞いてくださって\nありがとうございます……っ\n誰かとこうしてお話しできるの……とってもうれしいなって,저기…… 언제나 제 얘기를 들어주셔서\n감사합니다……\n누군가랑 이렇게 얘기할 수 있는 거…… 너무 기뻐서요
……いつもそばに、灯織ちゃんとめぐるちゃんがいて\nいつもプロデューサーさんが支えてくださって……\n私……とっても幸せものだなって……そう思います……っ,……항상 곁에 히오리쨩이랑 메구루쨩이 있어서\n항상 프로듀서님이 지탱해 주셔서……\n나…… 무척 행복한 사람이구나…… 그렇게 생각해요……
今度はちゃんと、海まで────,"이번엔 제대로, 바다까지────"
さぁ、歌いなさい\n鉄が軋み喜びの声をあげるように──,"자, 노래하렴.\n철이 삐걱거리며 기쁨의 소리를 지르도록……"
絶対という言葉はない\n──私というルールの外にはね,절대라는 말은 없어\n나라는 룰 외에는 말야
時間が……まわって……\nおかえりなさい……\nいってらっしゃい……,시간이…… 돌아가서……\n어서오세요……\n다녀오세요……
アナタならなんとかなるだろう？\n──マドモアゼル,당신이라면 어떻게든 되겠지?\n마드모아젤
プロデューサーさんは、いつもふゆのことを見ていて\nくれますよね……！　ふゆ、本当に嬉しいんですよ……♡\n……そろそろこっちも恋しいかと思ったんだけど、違った？,"프로듀서님은 항상 후유를 봐\n주실 거죠……! 후유, 정말로 기뻐요……♡\n……슬슬 이쪽도 그리울 줄 알았는데, 아니었어?"
運命って、信じる？\n私は……\n私は、わかんないけど,"운명을 믿어?\n난……\n난, 잘 모르겠지만"
……最悪、あなたの夢を見るとか,"……최악이야, 당신 꿈을 꾸다니"
やは～♡\n雛菜、プロデューサーのこと\nすきかも～,"야하~♡\n히나나, 프로듀서가\n좋을지도~"
千年も……万年も……\n流れつづけるガラスのように……\nともに……,천년도…… 만년도……\n계속 흘러가는 유리처럼……\n함께……
事務所に来てすぐに\nおめでとうってお祝いしたよ！\nやっぱり顔を見て言いたくて！,사무소에 오자마자\n축하한다고 해줬어!\n역시 얼굴 보고 말하고 싶어서!
今日は、０時ちょうどにメッセージを送りました。──『真乃、お誕生日おめでとう』って,"오늘은, 0시 정각에 메시지를 보냈어요. 『마노, 생일 축하해』라고"
……あれ。プロデューサー、なんだか疲れてるね……\nちょっと寝る？　それか、ホットミルク飲む……？\nはちみつ、色んなのあるから、今なら選び放題だよー？,"……어라. 프로듀서, 어딘가 지쳐보이네……\n잠깐 잘래? 아니면 핫밀크 마실래……?\n벌꿀 여러 가지 있으니까, 지금이라면 원하는 대로 고를 수 있다구?"
……言葉にしなければ伝わらない？\nそうですね、同感です\n伝えたくないから、言葉にしないんです,"……말로 하지 않으면 전해지지 않아?\n그렇네요, 동감이에요\n전하고 싶지 않으니까, 말을 하지 않는 거예요"
このプリン、前よりも美味しい……\nプロデューサーさんと一緒だからかな……\nえへへ……,"이 푸딩, 전보다 맛있어……\n프로듀서님이랑 같이 먹어서 그런 거려나……\n에헤헤……"
甜花の……プリン……\nプロデューサーさんに……\nひとくちなら、いいよ……！,"텐카의……푸딩……\n프로듀서님한테……\n한입이라면, 줄 수 있는데……!"
『昨日の敵は今日の友』ってことわざを教わりました！\n敵だった相手と、一緒に戦うことを言うんです！\nスッゴくカッコよくて、スッゴくスッゴくワクワクします！,"『어제의 적은 오늘의 친구』라는 속담을 배웠어요!\n적이었던 상대와 함께 싸우는 것을 말한대요!\n엄청 멋있고, 엄청 엄청 설레요!"
じ～～～……………………\n……！　ふぇ、見てなかよ！？\nうち、プロデューサーのこと見てなか……！,"빤~~~……………………\n……! 후에, 안 봤어야!?\n나 프로듀서 안 봤당게……!"
なんだか、お伝えしたいことがいっぱいあって……！\n言葉が押し合いへしあい、してるんです\n感謝、喜び、希望、それから────,"왠지 모르게 전해드리고 싶은 말이 너무 많아서……!\n말들이 서로 밀치락달치락 하고 있어요\n감사, 기쁨, 희망, 그리고……"
ふふっ\nまだまだ長いよ\n人生,후훗\n아직도 길다구\n인생
みんなのこと大好きだよ！　それは本当！\nでも……でもね？\nやっぱり、大好きじゃ収まらない人たちもいるんだ……！,"다들 너무 좋아! 그건 정말이야!\n그치만…… 그치만 있잖아?\n역시, 너무 좋다는 말로는 부족한 사람들도 있어……!"
フフ……ああ、いや、なんでもないんだ\nこうやって、ただ何気なくアナタを眺めることができる──\nそれはとても、幸せなことだと思ってね,"후후……아, 아니, 아무것도 아니야\n이렇게 그냥 아무렇지도 않게 당신을 바라볼 수 있어\n그건 너무나도 행복한 일이라고 생각해"
プロデューサー、知っているかな？　私は存外ワガママでね\n……フフ、その通り。まだまだ、アナタとともに\n過ごしていたいんだ──……ねぇ、頼めるかい？,"프로듀서, 알고 있으려나? 나는 의외로 자기중심적이라서 말야\n……후후, 말 그대로야. 아직도, 당신과 함께\n지내고 싶어…… 저기, 부탁해도 될까?"
プロデューサーをひと言で表すと……\nあ！　『完璧超人』！\n次に書く字、これにしよーっと！,프로듀서를 한마디로 표현하자면……\n아! 『완벽초인』!\n다음에 쓸 글씨는 이걸로 해야지!
雛菜がアイドルやって～\nプロデューサーも\n毎日楽しくてしあわせ～？,히나나가 아이돌 하고 있어서~\n프로듀서도\n매일 즐겁고 행복해~?
お仕事お疲れ様～！　\nはい！　コーヒーどうぞ～☆\n眠たそうだったから、ちょっと濃いめにしてみたよっ！,일하느라 고생이 많아~!\n자! 여기 커피~☆\n졸려보여서 조금 진하게 만들어봤어!
ここまで来れたことに、感謝です\nこれからもご一緒にって、指切りです,"여기까지 온 것에 대해 감사드려요\n앞으로도 함께 해주시겠다는 의미로, 새끼손가락 걸어요"
このあたしも……うちの大事な一部……\nだから……必ず好きになってもらう……\nそれまであきらめないから……絶対……！,이런 내 모습도…… 나의 소중한 일부분……\n그러니까…… 반드시 좋아하게 만들어주겠어……\n그때까지 포기하지 않을 거니까…… 절대로……!
ね、プロデューサー\n雛菜をプロデュースできてしあわせ～？,"있지, 프로듀서\n히나나 프로듀스 할 수 있어서 행복해~?"
ふっふ～ん、ふふ～ん……\n──……ふぇっ、ぷ、プロデューサー！\nんふふ～、聞かれてしまったばい……！,"흐흥~, 흐흥~……\n……후엣, 프, 프로듀서!\n우후후~, 들어부렀당가……!"
わ、わたし……\n頑張れるのが、嬉しいんです\nプロデューサーさんがいるから……！,"저, 저……\n열심히 하는 게 기뻐요\n프로듀서님이 계시니까……!"
アナタの傍は、とても心地がいいんだ\n穏やかで、優しくて、とても暖かい気持ちになれる\nだから……もう少しだけ、肩を借りていてもいいかい？,"당신 곁에 있는 건 무척 느낌이 좋아\n온화하고, 다정하고, 무척 따뜻한 기분이 돼\n그러니까…… 조금만 더, 어깨를 빌려도 될까?"
