text,trans,type
サポートアイドルをトレーニングしよう,서포트 아이돌을 트레이닝 하자,text
フェスをプレイしよう,페스를 플레이 하자,text
マニーショップで買い物をしよう,머니샵에서 쇼핑하자,text
マニーショップで販売しているアイテムをどれか一つ買ってみよう,머니샵에서 판매되는 아이템을 하나 사보자,text
デイリーミッションを全てクリアしよう,데일리 미션을 모두 클리어 하자,text
フェスで勝利しよう,페스에서 승리하자,text
ウィークリーミッションを全てクリアしよう,위클리 미션을 모두 클리어 하자,text
フェスアイドルを誕生させよう,페스 아이돌을 탄생시키자,
フェスに参加しよう,페스에 참가하자,text
営業をしよう,영업을 하자,text
スーパーアイドル,슈퍼 아이돌,text
トップアイドル,톱 아이돌,text
メジャーアイドル,메이저 아이돌,text
一人前のアイドル,어엿한 아이돌,text
「プロ根性」：メンタルが極小時にパーフェクトアピールを行う,「프로 근성」:멘탈이 극소시에 퍼펙트 어필을 실시한다,text
フェスの極意は、最後まで逆転を諦めないことだ,"페스의 비결은, 끝까지 승리를 단념하지 않는 것이다",text
「その……会話ってどうすれば\n盛り上がるんでしょうか……？」,「그…… 회화는 어떻게 하면\n분위기를 살리는 걸까요……?」,text
「コミュニケーションは\n節度を持って、ですよ？」,"「커뮤니케이션은\n절도를 가져, 야지요?」",text
初心にかえって研鑽を積み、羽ばたくんだ！,"초심으로 오히려 깊이 연구하여, 날개를 펼친다!",text
プロデューサーさん自慢の甘奈を、活躍させてほしいなっ☆,"프로듀서님 자랑의 아마나를, 활약시켜 주었으면 해☆",text
ずっと、ずっと、お傍においてくださいませ……,"쭉, 쭉, 옆에 있어 주십시오……",text
白い翼を持ったアイドルで、パラダイスを制することができるか？,"흰 날개를 가진 아이돌로, 파라다이스를 억제할 수가 있을까?",text
繰り返し限界を超え、絶対に折れない心を手に入れるんだ,"반복 한계를 넘어, 절대로 접히지 않는 마음을 손에 넣는다",text
ねえねえ、プロデューサー！ なんだかトップアイドルになれそうな気がするよー！,"있지있지, 프로듀서! 뭔가 톱 아이돌이 될 수 있을 것 같은 느낌이 들어요-!",text
限界を超えればまた限界がやってくる。くじけずに歌い続けるのだ,한계를 넘으면 또 한계가 온다. 꺾이지 않고 계속 노래한다,text
パラダイスを制する……魅惑的な響きだと思わないか？,파라다이스를 억제하는…… 매혹적인 영향이라고 생각하지 않는가?,text
「光り輝くアイドルの誕生だ」,「밝게 빛나는 아이돌의 탄생이다」,text
オーバーキャストモノクローム交換チケット,오버 캐스트 모노크롬 교환 티켓,text
オーバーキャストモノクロームと交換できるチケットです,오버 캐스트 모노크롬과 교환할 수 있는 티켓입니다,text
W.I.N.G.決勝に進出しよう,W.I.N.G. 결승에 진출하자,text
「伝説の一瞬」：1回のアピールで全ての審査員からラストアピールを獲得する,「전설의 일순」 : 1회의 어필로 모든 심사원으로부터 라스트 어필을 획득한다,text
「完全掌握」：全ての審査員からトップアピールを獲得する,「완전 장악」 : 모든 심사원으로부터 탑 어필을 획득한다,text
「パーフェクトライブ」：全ての審査員からトップアピールとラストアピールを獲得する,「퍼펙트 라이브」 : 모든 심사원으로부터 탑 어필과 라스트 어필을 획득한다,text
【W.I.N.G.編】いずれかのアイドルのTrueEndを見よう,【W.I.N.G.】아무 아이돌의 TrueEnd를 보자,text
【W.I.N.G.編】W.I.N.G.決勝に進出しよう,【W.I.N.G.】W.I.N.G. 결승에 진출하자,text
【W.I.N.G.編】W.I.N.G.準決勝に進出しよう,[W.I.N.G.편] W.I.N.G. 준결승에 진출하자,text
ファン感謝祭をクリアしよう,팬 감사제를 클리어 하자,text
ファン感謝祭でMVPを1回取ろう,팬 감사제에서 MVP를 1회 획득하자,text
プロデュースを開始しよう,프로듀스를 개시하자,
トラブルを発生させずにシーズンをクリアしよう,트러블을 일으키지 않고 시즌을 클리어하자,text
フェスリハーサルに参加しよう,페스 리허설에 참가하자,text
プロフィールで誕生日を設定しよう！,프로필에서 생일을 설정하자!,text
メンタル上限アップのスキルを1つ習得をしよう,멘탈 상한업 스킬을 하나 습득하자,text
フェス,페스,noun
フェスリハーサル,페스 리허설,noun
グレードフェス,그레이드 페스,noun
