text,trans,type
[条件:履歴に$unit全員がある場合],[조건 : 이력에 $1 전원이 있는 경우]
発動時に$noun$percentUP,발동시에 $1 $2 UP,
自身のメンタルを$percent減らし、$noun最大$percentUP,"자신의 멘탈을 $1 줄이고, $2 최대 $3 UP",
[注目度が高い程効果UP],[주목도가 높을수록 효과 UP]
[減少値が多いほど効果UP],[감소치가 많을수록 효과 UP],
[条件:最大メンタル$num以上],[조건 : 최대 멘탈 $1 이상],
[条件:編成アイドルの所属ユニットが$num種類以上の場合],[조건: 편성 아이돌의 소속 유닛이 $1종류 이상인 경우],
$numターンの間回避時,$1턴 동안 회피시,
[ダメージを受けるまで],[데미지를 받을 때까지],
[所属ユニットが多いほど効果UP],[소속 유닛이 많을수록 효과 UP],
思い出アピール未習得,추억 어필 미습득,
思い出アピール未習得の状態です,추억 어필 미습득 상태입니다,
Excellent$num倍アピール,Excellent $1배 어필,
全観客に影響力$percentDOWN,전관객에게 영향력 $1DOWN,
全観客の興味$percentDOWN,전관객의 흥미 $1DOWN,
思い出ゲージ増加量$percentDOWN,추억 게이지 증가량 $1DOWN,
$nounの増加量が$percentDOWNする効果,$1 증가량이 $2 DOWN하는 효과,
$nounの増加量が$percentUPする効果,$1 증가량이 $2 UP하는 효과,
$nounの増加量が$percentDOWN,$1 증가량이 $2 DOWN,
$nounの増加量が$percentUP,$1 증가량이 $2 UP,
$nounの増加量が$num倍にDOWNする効果,$1 증가량이 $2배 DOWN하는 효과,
$nounの増加量が$num倍にUPする効果,$1 증가량이 $2배 UP하는 효과,
[$num回],[$1회],
リラックス効果$percent付与,릴렉스 효과 $1부여,
リラックス$percent付与,릴렉스 $1부여,
リザレクション効果$percent付与,레저렉션(부활) 효과 $1부여,
メンタルが0になった時$percent回復,멘탈이 0이 되었을 때 $1 회복,
自身にメランコリー効果$percent付与,자신에게 멜랑꼴리 효과 $1부여,
全ユニットにメランコリー効果$percent付与,전 유닛에 멜랑꼴리 효과 $1부여,
ライバルにメランコリー効果$percent付与,라이벌에게 멜랑꼴리 효과 $1부여,
全ユニットにリラックス効果$percent付与,전 유닛에 릴랙스 효과 $1부여,
一定間隔で$nounに$num倍ダメージ,일정 간격으로 $1에 $2배 데미지,
受けるメンタルダメージを毎ターン$percentで回避する効果,멘탈 데미지를 매턴 $1의 확률로 회피하는 효과,
$noun$percentUP,$1 $2UP,
$noun$percent回復,$1 $2 회복,
$noun$num回復,$1 $2 회복,
$nounUP,$1 UP,
$noun$num,$1 $2,
$noun$num～$num倍アピール,$1 $2〜$3배 어필,
$noun$num〜$num倍アピール,$1 $2〜$3배 어필,
