text,trans,type
$noun上限,$1 상한,
$noun適正,$1 적정,
$ukを習得,$1을(를) 습득,
フェスユニット編成時、$nounに設定した際の基礎ポジションボーナスを$percent,"페스 유닛 편성시, $1로  설정했을 때의 기초 포지션 보너스를 $2",
オールラウンダー,올라운드,
フェスユニット編成時、基礎ポジションボーナス$sep$percent,"페스 유닛 편성시, 기초 포지션 보너스가 $1",
アピール値最大$percentUP,어필치 최대 $1 UP,
審査員の興味$num倍,심사원의 흥미 $1배
スロースターター,슬로우 스타터,text
スタートダッシュ,스타트 대시,text
人気者,인기인,text
物静か,차분함,text
$nounの$noun$percentDOWN,$1의 $2 $3 DOWN,
除去：$noun,제거 : $1,
$noun開始毎に$noun効果1つを$percentの確率で除去,$1 시작할때마다 $2 효과 1개를 $3의 확률로 제거,
注目の的,주목의 대상,text
ひかえめ,소극적,text
$nounの上限値$num,$1의 상한치 $2,
$nounマスター,$1 마스터,
$noun開始毎に$nounDOWNステータス効果1つを$percentの確率で除去,$1 시작할때마다 $2 DOWN 스테이터스 효과 1개를 $3의 확률로 제거,
パーフェクトリィ,퍼펙트리,text
すべての$noun$sep$percent,모든 $1 $2,
$noun回復量,$1 회복량,
メンタル回復量5％UP,멘탈 회복량 5％ UP,text
メンタル回復量5％DOWN,멘탈 회복량 5％ DOWN,text
アピールUP（思い出低）,어필 UP(추억 저),
アピールUP（思い出高）,어필 UP(추억 고),
$nameとの絆,$1와의 인연,
$nounの増加量を$percent,$1의 증가량을 $2,
$nameがユニットにいる場合、$noun$sep$percentUP,"$1가 유닛에 있는 경우, $2 $3UP",
$ukブロックのファン満足度$percent以上,$1블록의 팬 만족도 $2이상,
[経過ターンが長いほど効果UP],[경과 턴이 길수록 효과 UP],
[経過ターンが短いほど効果UP],[경과 턴이 짧을수록 효과 UP],
[$nounが多いほど効果UP],[$1이(가) 많을수록 효과UP],
[$nounが少ないほど効果UP],[$1이(가) 적을수록 효과UP],
思い出,추억,
Leader,Leader,noun
Center,Center,noun
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
メンタル,멘탈,noun
ボーカル,보컬,noun
ダンス,댄스,noun
ビジュアル,비주얼,noun
アピール値,어필치,noun
審査員,심사원,noun
注目度,주목도,noun
満足度,만족도,noun
興味,흥미,noun
メランコリー,멜랑꼴리,noun
リラックス,릴렉스,noun
思い出ゲージ,추억 게이지,noun
アピールフェイズ,어필페이즈,noun
$noun$sep$percent,$1 $2,
いずれかのひらめき,아무거나,text
