text,trans,type
フェスツアーポイントの獲得ptを$percent増加,페스투어 포인트 획득 pt를 $1 증가,
ユニット編成時に、$nameのすべての基礎能力値+$num,"유닛 편성 시, $1의 모든 기초능력치 $2",
ライブ参加時、テンションが低下する確率を$percent軽減,"라이브 참여 시, 텐션 저하 확률 $1 경감",
ライブ参加時、テンションの低下量を$percent軽減,"라이브 참여 시, 텐션 저하량을 $1 경감",
ライブ参加時、ライブに参加した全フェスアイドルの体力値の減少を$percent軽減,"라이브 참여 시, 라이브에 참여한 모든 페스아이돌의 체력치 감소를 $1 경감",
ライブ参加時、$nameの体力値の減少を$percent軽減,"라이브 참여 시, $1의 체력치 감소를 $2 경감",
ライブ参加時、FesToursのアイテム獲得数を確率で増加（大）,"라이브 참여 시, FesTours의 아이템 획득수를 확률로 증가(대)",text
FesTours中、全アイドルの体力の回復量を$percent増加,FesTours중 모든 아이돌의 체력 회복량을 $1 증가,
FesTours中、全アイドルの体力値の減少を$percent軽減,FesTours중 모든 아이돌의 체력치 감소를 $1 경감,
アイテムの獲得量を$num枠増加,아이템 획득량 $1범위 증가,
フェスツアーptの獲得量を$percent減少,페스 투어 pt 획득량을 $1 감소,
メンタルダメージ$percentCUT,멘탈 데미지 $1 CUT,
すべてのアピール値$percent,모든 어필값 $1,
$ukの編成時、すべてのアピール値$percent,$1 편성 시 모든 어필값 $2,
$ukのすべての基礎能力$percent,$1의 모든 기초능력 $2,
$ukの体力回復量を$percent上昇,$1의 체력 회복량을 $2 상승,
$ukの体力回復量$percent減少,$1의 체력 회복량을 $2 감소,
$ukの体力消費量$percent上昇,$1의 체력 소비량을 $2 상승,
$ukの体力減少量を$percent軽減,$1의 체력 감소량을 $2 경감,
チーム[うさちよかめ(恋鐘、智代子、愛依)],"팀 [우사치요카메(코가네, 치요코, 메이)]",noun
チーム[ヘルメス(めぐる、咲耶、樹里、冬優子)],"팀 [헤르메스(메구루, 사쿠야, 쥬리, 후유코)]",noun
チーム[ピーちゃん(真乃、霧子、甜花)],"팀 [피쨩(마노, 키리코, 텐카)]",noun
チーム[まりあ(摩美々、凛世、あさひ)],"팀 [마리아(마미미, 린제, 아사히)]",noun
チーム[青春ジャージ(結華、夏葉、千雪)],"팀 [청춘 저지(유이카, 나츠하, 치유키)]",noun
[Team.Stella(真乃、恋鐘、果穂、智代子、甘奈、あさひ、円香、美琴)],"[Team. Stella (마노, 코가네, 카호, 치요코, 아마나, 아사히, 마도카, 미코토)]",noun
[Team.Luna(灯織、摩美々、結華、霧子、凛世、甜花、愛依、小糸)],"[Team.Luna(히오리, 마미미, 유이카, 키리코, 린제, 텐카, 메이, 코이토)]",noun
[Team.Sol(めぐる、咲耶、樹里、夏葉、千雪、冬優子、透、雛菜、にちか)],"[Team.Sol(메구루, 사쿠야, 쥬리, 나츠하, 치유키, 후유코, 토오루, 히나나, 니치카)]",noun
チーム[一番星(灯織、果穂、甘奈)],"팀 [샛별(히오리, 카호, 아마나)]",noun
すべてのアイドル,모든 아이돌,noun
アルストロメリア,알스트로메리아,noun
アンティーカ,안티카,noun
イルミネーションスターズ,일루미네이션 스타즈,noun
放課後クライマックスガールズ,방과후 클라이맥스걸즈,noun
放課後クライマックスガールズ,방과후 클라이맥스걸즈,noun
ストレイライト,스트레이라이트,noun
ノクチル,녹칠,noun
シーズ,SHHis,noun
達成Vocalライブ回数,달성 Vocal 라이브 횟수,text
達成Danceライブ回数,달성 Dance 라이브 횟수,text
達成Visualライブ回数,달성 Visual 라이브 횟수,text
1位回数,1위 횟수,text
2位回数,2위 횟수,text
総スター獲得数,총 스타 획득수,text
Extreme勝利回数,Extreme 승리 횟수,text
最高ライブスコア,최고 라이브 스코어,text
イベントパネル選択回数,이벤트 패널 선택 횟수,text
プレゼントパネル選択回数,선물 패널 선택 횟수,text
回復パネル選択回数,회복 패널 선택 횟수 ,text
ユニットボーナスUP,유닛 보너스 UP,text
VocalUP,Vocal UP,text
DanceUP,Dance UP,text
VisualUP,Visual UP,text
ボーナスUP(Leader),보너스 UP (Leader),text
ボーナスUP(Center),보너스 UP (Center),text
ボーナスUP(Vocal),보너스 UP (Vocal),text
ボーナスUP(Dance),보너스 UP (Dance),text
ボーナスUP(Visual),보너스 UP (Visual),text
Vocal基礎能力UP,Vocal 기초능력 UP,text
Dance基礎能力UP,Dance 기초능력 UP,text
Visual基礎能力UP,Visual 기초능력 UP,text
たい焼き,붕어빵,text
レッドのお守り,붉은 부적,text
★のチョコ,★의 초코,text
重装備アイテム,중장비 아이템,text
イベントパンフレット,이벤트 팜플렛,text
マカロン,마카롱,text
筆談帳,필담장,text
基礎能力UP,기초능력 UP,text
ラッキーアイテム,럭키 아이템,text
超パープルドリンク,초퍼플 음료,text
アイドルのCD,아이돌 CD,text
柴犬キーホルダー,시바견 키홀더,text
プロテイン,단백질,text
体力回復量上昇,체력 회복량 상승,text
ドジョウのえさ,미꾸라지 먹이,text
敵のお守り（招き猫）,적의 부적(마네키네코),text
スポーツタオル,스포츠 타올,text
体力減少量軽減,체력 감소량 경감,text
ライブ中のユニットボーナスを$percent,라이브 중 유닛 보너스를 $1,
ライブ中、Vocal$percentUP[3ターン]を付与,라이브 중 Vocal$1 UP[3턴] 부여,
ライブ中、Dance$percentUP[3ターン]を付与,라이브 중 Dance$1 UP[3턴] 부여,
ライブ中、Visual$percentUP[3ターン]を付与,라이브 중 Visual $1 UP[3턴] 부여,
ライブ中のポジションボーナスを$percent,라이브 중 포지션 보너스를 $1,
ライブ中のVocal基礎能力を+$num,라이브 중 Vocal 기초능력을 $1,
ライブ中のDance基礎能力を+$num,라이브 중 Dance 기초능력을 $1,
ライブ中のVisual基礎能力を+$num,라이브 중 Visual 기초능력을 $1,
ライブ中のすべてのアイドルの基礎能力を+$num,라이브 중 모든 아이돌의 기초능력을 $1,
全アイドルの体力回復量を$percent上昇,모든 아이돌의 체력 회복량을 $1 상승,
全アイドルの体力減少量を$percent軽減,모든 아이돌의 체력 감소량을 $1 경감 ,
Vocal\nアピールUP,Vocal\n어필 UP,text
Dance\nアピールUP,Dance\n어필 UP,text
Visual\nアピールUP,Visual\n 어필 UP,text
Center\nボーナスUP,Center\n보너스 UP,text
Leader\nボーナスUP,Leader\n보너스 UP,text
Vocal\nボーナスUP,Vocal\n보너스 UP,text
Dance\nボーナスUP,Dance\n보너스 UP,text
Visual\nボーナスUP,Visual\n보너스 UP,text
体力上限UP,체력 상한 UP,text
体力減少量軽減,체력 감소량 경감,text
体力回復量UP,체력 회복량 UP,text
ライブオート,라이브 오토,text
リタイア回数\n増加,리타이어 횟수\n증가,text
アイテム\n持ち込み数,아이템\n반입 수,
アイテム\n引き継ぎ数,아이템\n이어받기 수,
$nameの編成時、Visualアピールを$percent,$1 편성 시 Visual 어필을 $2,
$nameの編成時、Danceアピールを$percent,$1 편성 시 Dance 어필을 $2,
$nameの編成時、Vocalアピールを$percent,$1 편성 시 Vocal 어필을 $2,
$nameのVisual担当時の\n基礎ポジションボーナス$percent,$1가 Visual 담당시 \n기초 포지션 보너스 $2,
$nameのDance担当時の\n基礎ポジションボーナス$percent,$1가 Dance 담당시 \n기초 포지션 보너스 $2,
$nameのVocal担当時の\n基礎ポジションボーナス$percent,$1가 Vocal 담당시 \n기초 포지션 보너스 $2,
$nameのLeader担当時の\n基礎ポジションボーナス$percent,$1가 Leader 담당시\n기초 포지션보너스 $2,
$nameのCenter担当時の\n基礎ポジションボーナス$percent,$1가 Center 담당시\n기초 포지션 보너스 $2,
$nameの体力回復量を$percent上昇,$1의 체력 회복량을 $2 상승,
$nameの体力減少量を$percent軽減,$1의 체력 감소량을 $2 경감,
$nameの体力上限が$numになる,$1의 체력 상한이 $2이 된다,
ライブアイテムを引き継ぎ可能\n枠＋$num,라이브 아이템 이어받기 가능\n수 $1,
ライブに持ち込み可能な\nライブアイテム数＋$num,라이브로 가져올 수 있는\n라이브 아이템 수 $1,
リタイア可能回数,리타이어 가능 횟수,
ライブをオートでプレイできる\nオート時のPERFECT率上昇($uk),라이브를 자동으로 플레이 할 수 있다\n오토 시의 PERFECT율 상승($1) ,
Danceが$percentUPする効果,Dance가 $1 UP 하는 효과,
Visualが$percentUPする効果,Visual이 $1 UP 하는 효과,
Vocalが$percentUPする効果,Vocal이 $1 UP 하는 효과,
アイテムスロット増加,아이템 슬롯 증가,text
アイテム引き継ぎ,아이템 가져오기,text
ライブオート,라이브 오토,text
リタイア回数,리타이어 횟수,text
$nameの編成時\nDanceアピールUP,$1 편성 시\nDance 어필 UP,
