text,trans,type
注目度$percentUP,주목도 $1 UP
審査員の興味$num倍,심사원의 흥미 $1배
審査員の影響力$percentDOWN,심사원의 영향력 $1 DOWN
メンタルが多いほど効果UP,멘탈이 많을수록 효과UP
アピールフェイズ開始毎にVoDaViのDOWNステータス効果1つを$percentの確率で除去,어필페이즈 시작할때마다 VoDaVi Down 효과 1개를 $1의 확률로 제거
アピールフェイズ開始毎に中確率でVo&Da&Vi$percentUP[$numターン]付与,어필페이즈 시작할때마다 중 확률로 Vo&Da&Vi $1 UP [$2턴] 부여
アピールフェイズ開始毎に低確率でVo&Da&Vi$percentUP[$numターン]付与,어필페이즈 시작할때마다 저 확률로 Vo&Da&Vi $1 UP [$2턴] 부여
親愛度$other,친애도 $1,
アビリティ「$uk」,어빌리티 「$1」 ,
$uk習得,$1 습득,
FesTours専用,FesTours전용,
ユニット編成時にすべての基礎能力値,유닛 편성 시 모든 기초 능력치 ,
ユニット編成時に$noun$percent,유닛 편성 시 $1 $2,
FesToursのアイテム獲得数$sep確率で増加,FesTours의 아이템 획득수 확률 증가,
体力が小回復,체력이 소 회복 ,
体力が中回復,체력이 중 회복 ,
体力が大回復,체력이 대 회복 ,
体力が特大回復,체력이 특대 회복 ,
テンションが$other,텐션이 $1,
ライブ参加時の自身の体力消費量を軽減,라이브 참가 시 자신의 체력 소비량을 경감 ,
すべてのアピール値を$percent,모든 어필치 $1,
全アイドルとの絆が$other,모든 아이돌과의 인연이 $1,
メンタル$num,멘탈 $1,
$nounの上限値$num,$1의 상한치 $2,
メンタルダメージを$percentCUT,멘탈 데미지를 $1 CUT,
メンタルダメージ$percentCUT,멘탈 데미지 $1 CUT,
アピール値最大$percent,어필치 최대 $1,
[$nounが少ないほど効果UP],[$1이 적을수록 효과 UP] ,
幸運（$uk）,행운 ($1) ,
疲れにくい（$uk）,활력 ($1) ,
疲れにくい($uk),활력 ($1) ,
幸運($uk),행운 ($1) ,
$nounを$num回行う,$1을(를) $2회 수행한다,
お仕事を$num回行う,영업을 $1회 수행한다,
休むを$num回行う,휴식을 $1회 수행한다,
$ukを$num回発生させる,$1을(를) $2번 발생시킨다 ,
$nounのステータスを$num上昇させる,$1의 스테이터스를 $2 상승시킨다,
$nounの熟練度獲得量が$num倍,$1의 숙련도 획득량이 $2배 ,
すべての熟練度獲得量が$num倍,모든 숙련도 획득량이 $1배 ,
楽曲サポートボーナスの熟練度獲得量が$num倍,악곡 서포트 보너스 숙련도 획득량이 $1배 ,
体力の消費量が増加,체력 소비량 증가 ,
$nounのすべての熟練度獲得量が$num倍,$1의 모든 숙련도 획득량이 $2배,
トラブル率が$percent,트러블률이 $1,
パーフェクトコミュニケーションを$num回行う,퍼펙트 커뮤니케이션을 $1회 진행,
約束を$num回守る,약속을 $1번 지킨다,
サポートアイドル$num人の絆を赤ゲージにする,서포트 아이돌 $1명의 인연을 빨강 게이지로 만든다,
ユニット全員の$uk$noun$percent,유닛 전원의 $1$2 $3,
観客へのアピールボーナスで上昇する会場ボルテージが$other,관객에게 어필 보너스로 상승하는 회장 열기가 $1,
$noun観客へのラストアピールで上昇する会場ボルテージが$other,$1 관객에게 라스트 어필로 상승하는 회장 열기가 $2,
[$numターン],[$1턴],
$num週,$1주,
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
メンタル,멘탈,noun
メンタルダメージ,멘탈 데미지,noun
ボーカルレッスン,보컬 레슨,noun
ビジュアルレッスン,비주얼 레슨,noun
ダンスレッスン,댄스 레슨,noun
ラジオの収録,라디오 수록,noun
トークイベント,토크 이벤트,noun
雑誌の撮影,잡지 촬영,noun
歌唱力,가창력,noun
安定感,안정감,noun
表現力,표현력,noun
集中力,집중력,noun
団結力,단결력,noun
レッスン,레슨,noun
お仕事,영업,noun
小アップ,소 UP,other
中アップ,중 UP,other
大アップ,대 UP,other
特大アップ,특대 UP,other 
ヒカリのdestination,빛의 destination
シャイノグラフィ,샤이노그래피
バベルシティ・グレイス,바벨시티・그레이스
夢咲きAfter school,꿈이 피는 After school
五ツ座流星群,다섯 자리 유성군
"Vocal＋$num, Dance＋$num, Visual＋$num, SP＋$num","Vocal+$1, Dance+$2, Visual+$3, SP+$4"
ダブル・イフェクト,더블 이펙트
アルストロメリア,알스트로메리아
いつだって僕らは,언제나 우리는
アピール値$percentUP[ダメージを受けるまで],어필치 $1 UP[데미지를 받을 때까지]
