text,trans,type
$nounUP,$1 UP,
消費体力$num,소비체력 $1,
$nounのレベルを$num上昇,$1의 레벨을 $2 상승,
リハーサルの流行1位を$nounに変更,리허설의 유행 1위를 $1로 변경,
本番の流行1位を$nounに変更,실전의 유행 1위를 $1로 변경,
トラブル率$percent,트러블율 $1,
パーフェクト発生率増加,퍼펙트 발생률 증가,
サポートスキルの発動率が中UP,서포트 스킬의 발동율이 중 UP,
全アイドルと七草はづきの絆を中UP,전아이돌과 나나쿠사 하즈키의 인연을 중 UP,
$noun･$noun･$nounUP,$1･$2･$3 UP,
$noun･$nounUP,$1･$2 UP,
$noun&$nounノート,$1&$2 노트,
限定スキル[$noun上限$num]を解放,한정 스킬[$1 상한 $2]을 해방,
ファン人数+$num,팬 수 + $1,
[条件:$noun],[조건: $1],
[確率:$percent],[확률: $1],
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
ボーカルレッスン,보컬 레슨,noun
ビジュアルレッスン,비주얼 레슨,noun
ダンスレッスン,댄스 레슨,noun
ラジオの収録,라디오 수록,noun
トークイベントに出演,토크 이벤트에 출연,noun
雑誌の撮影,잡지 촬영,noun
Voレッスン,Vo레슨,noun
Daレッスン,Da레슨,noun
Viレッスン,Vi레슨,noun
親愛度,친애도,noun
絆,인연,noun
テンション,텐션,noun
ファン数,팬 수,noun
雑誌,잡지,noun
ラジオ,라디오,noun
トーク,토크,noun
Da,Da,noun
Vo,Vo,noun
Vi,Vi,noun
Me,Me,noun
SP,SP,noun
体力回復,체력 회복,text
体力が中回復,체력이 중 회복,text
テンションが中UP,텐션이 중 UP,text
親愛度が中UP,친애도가 중 UP,text
体力が大回復,체력이 대 회복,text
テンションが大UP,텐션이 대 UP,text
親愛度が大UP,친애도가 대 UP,text
体力が特大回復,체력이 특대 회복,text
テンションが特大UP,텐션이 특대 UP,text
親愛度が特大UP,친애도가 특대 UP,text
親愛度を特大UP,친애도를 특대 UP,text
体力が小回復,체력이 소 회복,text
テンションが小UP,텐션이 소 UP,text
親愛度が小UP,친애도가 소 UP,text
リハ流行Vo,리허설 유행 Vo,text
リハ流行Da,리허설 유행 Da,text
リハ流行Vi,리허설 유행 Vi,text
全アイドルと七草はづきの絆UP,전아이돌과 나나쿠사 하즈키의 인연을 UP,text
限定スキル解放,한정 스킬 해방,text
限定スキルを解放,한정 스킬을 해방,text
