text,trans,type
【$uk】$nameのピース,【$1】$2의 피스,
【$uk】\n$nameのピース,【$1】\n$2의 피스,
【$uk】$name 専用特訓アイテム\n交換数に応じて必要なチケット枚数が異なります,【$1】$2 전용 특별훈련 아이템\n교환 수에 따라 필요한 티켓 매수가 달라집니다
キーホルダー,키홀더,item
タオル,타올,item
Tシャツ,티셔츠,item
イルミネーションスターズ,일루미네이션 스타즈,unit
放課後クライマックスガールズ,방과후 클라이맥스걸즈,unit
放課後クライマックスガールズ,방과후 클라이맥스걸즈,unit
アンティーカ,안티카,unit
アルストロメリア,알스트로메리아,unit
ストレイライト,스트레이라이트,unit
ノクチル,녹칠,unit
シーズ,SHHis,unit
イルミネ,일루미네,unit
放クラ,방클걸,unit
アルスト,알스트로,unit
ストレイ,스트레이,unit
283プロ,283프로,unit
Dance,Dance,noun
Vocal,Vocal,noun
Visual,Visual,noun
スキル,스킬,noun
メンタル,멘탈,noun
ボーカル,보컬,noun
ダンス,댄스,noun
ビジュアル,비주얼,noun
親愛度,친애도,noun
SP,SP,noun
極小アップ,극소 올라,up
小アップ,소 올라,up
中アップ,중 올라,up
大アップ,대 올라,up
小回復,소 회복,restore
中回復,중 회복,restore
大回復,대 회복 ,restore
プロデュース,프로듀스,note
サポート,서포트,note
（$note）,($1),
イベント第$num話,이벤트 $1화,
第$num話,$1화,
イベントED,이벤트 ED,
$unitの$item,$1의 $2,
$unit$sepの$sep$item,$1의 $2,
【$uk】$name,【$1】$2,
【$uk】\n$name,【$1】\n$2,
$unitに所属しているサポートアイドルの絆が$upします,$1에 소속해 있는 서포트 아이돌의 인연이 $2갑니다,
ヒーリングフルーツタルト,힐링 과일 타르트,
使用時プロデュースアイドルの体力が$restoreします,사용시 프로듀스 아이돌의 체력이 $1합니다,
流行雑誌,유행 잡지,
予定変更付箋,예정 변경 포스트잇,
プロデュース中の約束発生率を$upします,프로듀스중의 약속 발생율이  $1갑니다,
リカバリーソーダ,리커버리 소다,
使用時プロデュースアイドルのテンションが$upします,사용시 프로듀스 아이돌의 텐션이 $1갑니다,
テンションアロマ,텐션 아로마,
トラブル守り,트러블 방지,
親愛のお守り,친애의 부적,
$noun基礎知識本,$1 기초 지식책,
プロデュース開始時に$noun$numします,프로듀스 시작시에 $1 $2합니다,
プロデュース開始時に$noun$num,프로듀스 시작시에 $1 $2,
SSR特訓はづきさん,SSR특훈 하즈키씨,
SR特訓はづきさん,SR특훈 하즈키씨,
プチセレクションチケット,푸치 셀렉션 티켓,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が$upします,프로듀스 시작시에 유닛에 편성된 전서포트 아이돌의 인연이 $1갑니다,
$ukアニバーサリーケーキ,$1 애니버서리 케이크,
プロデュース開始時に$unitに所属しているサポートアイドルの絆が$upします,프로듀스 시작시에 $1에 소속해 있는 서포트 아이돌의 인연이 $2갑니다,
ヒーリングタルト,힐링 과일 파이,
ヒーリングフルーツタルト,힐링 과일 타르트,
高級ヒーリングフルーツタルト,고급 힐링 과일 타르트,
高級ヒーリングフルーツ\nタルト,고급 힐링 과일\n타르트,
プチテンションアロマ,푸치 텐션 아로마,
$noun応用知識本,$1 응용 지식책,
$noun実践知識本,$1 실천 지식책,
プロデュース中、シーズン１に限り朝コミュ発生率を$upします,프로듀스중、시즌 1에 한정해 아침 커뮤 발생율이 $1갑니다,
プロデュース開始時に編成している全サポートアイドルの絆が$upします,프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 $1갑니다,
プロデュース開始時に編成している全サポートアイドルの絆が$upし、,프로듀스 시작시에 편성하고 있는 전서포트 아이돌의 인연이 $1가고、,
プロデュース開始時にユニットに編成している全サポートアイドルの絆が$upし、,프로듀스 시작시에 유닛에 편성하고 있는 전서포트 아이돌의 인연이 $1가고、,
$noun流行雑誌,$1 유행 잡지,
使用時流行1位を$nounに変更し、2位3位はランダムで変更します,"사용시 유행 1위를 $1로 변경하고, 2위 3위는 랜덤으로 변경합니다",
