text,trans
ミニライブ,미니라이브
TV出演,TV 출연
雑誌インタビュー,잡지 인터뷰
イルミネーションスターズ,일루미네이션 스타즈
アンティーカ,안티카
放課後クライマックスガールズ,방과 후 클라이맥스 걸즈
アルストロメリア,알스트로메리아
ストレイライト,스트레이라이트
ノクチル,녹칠
シーズ,SHHis
W.I.N.G.編,W.I.N.G.편
ファン感謝祭編,팬 감사제편
G.R.A.D.編,G.R.A.D.편
Landing Point編,Landing Point편
S.T.E.P.編,S.T.E.P.편
ボーカル,보컬
ダンス,댄스
ビジュアル,비주얼
トーク,토크
アピール,어필
トワイライツ\nコレクション,트와일라잇\n컬렉션
期間限定\nガシャ,기간한정\n가챠
通常ガシャ,통상가챠
各種\nイベント,각종\n이벤트
その他,그 외
メンタルUP,멘탈UP
テンションUP,텐션UP
親愛度UP,친애도UP
Vocal上限UP,Vocal 상한 UP
Dance上限UP,Dance 상한 UP
Visual上限UP,Visual 상한 UP
メンタル上限UP,멘탈 상한 UP
SP UP,SP UP
ライブスキル,라이브 스킬
パッシブスキル,패시브 스킬
アビリティ,어빌리티
メンタル,멘탈
Vocal上限,Vocal 상한
Dance上限,Dance 상한
Visual上限,Visual 상한
ボーカルマスタリー,보컬 마스터리
ダンスマスタリー,댄스 마스터리
ビジュアルマスタリー,비주얼 마스터리
ラジオマスタリー,라디오 마스터리
トークマスタリー,토크 마스터리
撮影マスタリー,잡지 마스터리
オーディションマスタリー,오디션 마스터리
テンションマスタリー,텐션 마스터리
ユニットマスタリー,유닛 마스터리
パーフェクトマスタリー,퍼펙트 마스터리
エクセレントブースト,엑설런트 부스트
施設マスタリー,시설 마스터리
トラブルガード,트러블 가드
体力サポート,체력 서포트
約束リカバー,약속 리커버리
おやすみブースト,휴식 부스트
アイドルの絆,아이돌의 인연
イベントブースト,이벤트 부스트
体力回復,체력 회복
Vocal\nアピール,Vocal\n어필
Dance\nアピール,Dance\n어필
Visual\nアピール,Visual\n어필
Excellent\nアピール,Excellent\n어필
興味無視,흥미 무시
一気に満足\nさせる,단숨에\n만족시킨다
全観客に\nアピール,전관객에게\n어필
メンタルが多い\nほど効果UP,멘탈이 많을수록\n효과 UP
メンタルが少な\nいほど効果UP,멘탈이 적을수록\n효과 UP
思い出ゲージが\n多いほど効果UP,추억 게이지가\n많을수록 효과 UP
注目度が高い\nほど効果UP,주목도가 높을\n수록 효과 UP
注目度が低い\nほど効果UP,주목도가 낮을\n수록 효과 UP
所属ユニットが\n多いほど効果UP,소속 유닛이\n많을수록 효과 UP
消去,소거
アピール倍率\nUP,어필배율\nUP
Vocal UP,Vocal UP
Dance UP,Dance UP
Visual UP,Visual UP
Vocal\nDOWN,Vocal\nDOWN
Dance\nDOWN,Dance\nDOWN
Visual\nDOWN,Visual\nDOWN
思い出ゲージ\nUP,추억게이지\nUP
思い出ゲージ\nDOWN,추억게이지\nDOWN
メンタル回復,멘탈 회복
自身のメンタ\nルを減らす,자신의 멘탈\n을 줄인다
リザレクショ\nン効果付与,리저렉션\n효과 부여
リラックス\n効果付与,릴렉스\n효과 부여
メランコリー\n効果付与,멜랑콜리\n효과 부여
メンタルダメ\nージCUT,멘탈 데미지\nCUT
メンタル\nダメージUP,멘탈\n데미지 UP
注目度UP,주목도 UP
注目度\nDOWN,주목도\nDOWN
リアクション\n回避率UP,리액션\n회피율UP
回避時ステー\nタス効果付与,회피시 상태\n효과 부여
興味UP,흥미 UP
興味DOWN,흥미 DOWN
興味反転,흥미 반전
影響力\nDOWN,영향력\nDOWN
ダメージを\n受けるまで,데미지를\n받을때까지
PERFECT\nなら効果UP,PERFECT면\n효과 UP
必ず最初に\nアピール,반드시 처음에\n어필
必ず最後に\nアピール,반드시 마지막에\n어필
デュエット,듀엣
影響力\nUP,영향력\nUP
ダメージ時ステー\nタス効果付与,데미지시 스테이\n터스 효과부여
パッシブスキル\n発動率UP,패시브 스킬\n발동률 UP
回復回数増加で\n効果UP,회복횟수 증가로\n효과 UP
