id,name,text,trans
6017003100010,あさひ,"ふんふ～ん
ふんふんふ～ん……","흥흐~응
흥흥흐~응……"
0000000000000,プロデューサー,──あさひ、なんだかご機嫌だな……,"──아사히, 왠지 기분 좋아보이네……"
6017003100020,あさひ,"プロデューサーさん
ただいまっす～！","프로듀서님
다녀왔슴다~!"
6017003100030,あさひ,すごかったっすね～、決勝～！,"굉장했슴다~, 결승~!"
6017003100040,あさひ,"お客さんが
みんなこっち見てたっす！","손님이
모두 이쪽을 봤슴다!"
0000000000000,プロデューサー,"──ははっ、うん
お客さんの目が見えたのか？","──하핫, 응
손님의 눈이 보였던건가?"
6017003100050,あさひ,"見えたっすよ
客席が目みたいだったっす～！","보였슴다
객석이 눈 같았슴다~!"
0000000000000,プロデューサー,"そうか
それは……それはよかった！","그렇구나
그건……그건 다행이야!"
6017003100060,あさひ,あーでも、なんで勝てなかったんすかねー,"아ー하지만, 어째서 이기지 못했던 걸까요ー"
0000000000000,プロデューサー,"うん、その分析は後でちゃんとしような
でも────","응, 그 분석은 나중에 제대로 하자
하지만────"
0000000000000,プロデューサー,"俺は、あさひがちゃんとお客さんのこと見て
パフォーマンスしてくれたこと、大事なことだと思ってるよ","나는 아사히가 제대로 손님을 보고
퍼포먼스 해 준 것이, 중요한 것이라고 생각해"
6017003100070,あさひ,……？,……？
0000000000000,プロデューサー,"ありがとうございますって気持ちはさ
相手のことを見なきゃ、生まれてこない","감사하다는 마음은 말이야
상대를 보지 않으면, 생겨날 수 없어"
6017003100080,あさひ,……,……
0000000000000,プロデューサー,"だからさ、間違ってないんだ
今日みたいなステージ、これからも期待してるぞ！","그러니까 말이야, 틀린 게 아니야
오늘같은 무대, 앞으로도 기대할게!"
6017003100090,あさひ,"……よくわかんないけど、わかったっす！
また決勝やりたいっす～～！","……잘은 모르겠지만, 알겠슴다!
또 결승하고 싶슴다~~!"
0000000000000,プロデューサー,"──あ……
ははっ、そうだな────","──아……
하핫, 그렇네────"
0000000000000,プロデューサー,また決勝、やりたいな…………！,"또 결승, 하고 싶네…………!"
info,produce_events/601700310.json,
译者,사이버교주,
